,r2,mse,mae,rmse,mape
lh,0.5942217408571177,22.218349132467875,2.00156152896346,4.713634386804716,41.33395422992474
estrogen,0.7354649699080382,1433.015772857111,21.250899053840204,37.85519479354334,26.001751206096895
pdg,0.6913041740604332,14.215189285656582,2.101589386469932,3.770303606562286,75.10466290042416
