feature,importance,importance_normalized
stress_score,0.2704345264318225,27.043452643182253
lightly,0.1596289841802425,15.962898418024253
total_activity,0.149522878629509,14.952287862950902
stress_sleep_ratio,0.102211912459986,10.2211912459986
very,0.09461300186146045,9.461300186146046
moderately,0.07152762127959383,7.1527621279593845
minutesawake,0.06348208928065392,6.348208928065394
intense_ratio,0.04811423403293146,4.811423403293147
resting_hr,0.01826985681260572,1.8269856812605723
minutesasleep,0.013505185195334111,1.3505185195334113
efficiency,0.008689709835860466,0.8689709835860469
minutestofallasleep,0.0,0.0
