feature,average_importance
stress_score,21.87370366991876
lightly,14.230513654507732
total_activity,12.880843733874134
very,12.863349105829371
moderately,8.398377275985307
minutesawake,7.955665361859845
stress_sleep_ratio,7.824462572080721
intense_ratio,7.727448514238127
resting_hr,2.2879707039420536
minutesasleep,2.160114196366437
efficiency,1.7975547876762021
minutestofallasleep,0.0
